CourseId,Subject,Number,Title,Class Units,Description,Topic,seeAlso,Outline
6595,DANC,420,Choreography II,6,"Building on initial research carried out in DANC 320, further exploration is conducted into the use of technology within the choreographic process as well as an examination of the role that it plays in all aspects of production. This course expands on various approaches to choreography through movement research, discussion and theory, extended studio assignments, rehearsal management, and production. Students also examine the role of the choreographer in social, political, and artistic contexts. Students are expected to produce work for public performance.
Prerequisite: Appropriate technique class (DANC 205 [210], 305 [310], or 405 [410], as determined by the Department) and DANC 401 (400) or 405 (410) concurrently; enrolment in the Major in Contemporary Dance, or written permission of the Department.




",,http://www.concordia.ca/finearts/creative-arts-therapies/programs/art-therapy-ma.html,
3363,BLDG,6571,PROJECT MANAGEMENT,4,Please see GRAD Calendar,,http://www.concordiasae.ca/,
3365,BLDG,6581,DECISION ANALYSIS,4,"Development of a basic theory of decision making under uncertainty. Rationales of decision makers, utility, the concept of the value of perfect information. The Bayesian approach to decision making; pre-posterior analysis and optimal fixed-sized analysis for random processes. Decision analysis with multiple objective, structuring the problem, multi-attributed utility functions, case studies. A project.",,http://www.poullis.org/games/,
3367,BLDG,6591,COMP.AIDED BUILD. DESIGN,4,Please see GRAD Calendar,,http://www.spaceconcordia.ca/,
3367,BLDG,6591,COMP.AIDED BUILD. DESIGN,4,Please see GRAD Calendar,,http://www.spaceconcordia.ca/,
40218,BLDG,6601,BUILDING ENCLOSURE,4,Please see GRAD Calendar,,http://www.uavconcordia.ca/,
3370,BLDG,6611,BUILDING SCIENCE,4,Please see GRAD Calendar,,https://cubes.ecaconcordia.ca/,
40219,BLDG,6621,NON-STRUCTURAL BLDG MATERIALS,4,Please see GRAD Calendar,,https://ecaconcordia.ca/,
40219,BLDG,6621,NON-STRUCTURAL BLDG MATERIALS,4,Please see GRAD Calendar,,https://ecaconcordia.ca/,
3374,BLDG,6641,MODULAR & OFF-SITE CONSTRUCT,4,Please see GRAD Calendar,,https://ecaconcordia.ca/societies/enggames,
40221,BLDG,6651,FIRE+SMOKE CNTR L/BUILDINGS,4,Please see GRAD Calendar,,https://madiba.encs.concordia.ca/,
3376,BLDG,6661,HYGROTHERM.PERF/BLDG. ENV.,4,Please see GRAD Calendar,,https://montreal.ubisoft.com/en/game-lab-competition/,
3379,BLDG,6701,BUILDING ENVIRONMENT,4,Please see GRAD Calendar,,https://users.encs.concordia.ca/~design/,
40222,BLDG,6721,BUILDING ACOUSTICS,4,Please see GRAD Calendar,,https://users.encs.concordia.ca/~dolat/,
40222,BLDG,6721,BUILDING ACOUSTICS,4,Please see GRAD Calendar,,https://users.encs.concordia.ca/~dolat/,
40223,BLDG,6731,BUILDING ILLUM. & DAYLIGHTING,4,Please see GRAD Calendar,,https://users.encs.concordia.ca/~mpackir/,
3385,BLDG,6741,HVAC CONTROL SYSTEMS,4,Please see GRAD Calendar,,https://users.encs.concordia.ca/~tse/,
40224,BLDG,6751,INDOOR AIR QUAL.+ VENT.,4,Please see GRAD Calendar,,https://www.casi.ca/others/branches/concordia-university-branch/,
40291,CHST,605,QUANTITATIVE METHODS OF INQUIRY,3,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#DipInstrTech,
40291,CHST,605,QUANTITATIVE METHODS OF INQUIRY,3,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#DipInstrTech,
10546,ESTU,690,THESIS AND TUTORIAL,21,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#MAEdSts,
10614,ETEC,650,FUNDAMENTALS/INSTRUC DESIGN,3,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#MAEdTech,
10614,ETEC,650,FUNDAMENTALS/INSTRUC DESIGN,3,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#MAEdTech,
40564,EDUC,895,DOCTORAL DISSERTATION,48,Please see GRAD Calendar,,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#PhDEd,
7669,EDUC,264,"Communication: Child, Parent and Teacher",3,"This course focuses on the role parents play in the various stages of the child's academic, social, and emotional development. The format for this course is unique in that parents of the children in the observation nursery are involved, and students interact with them by conducting and participating in parent-teacher seminars. Topics include parenting, the impact of the family on the child's classroom behaviour, child abuse, cultural issues, disciplinary measures at home and in school, the coordination of home-and-school academic goals, and achievement motivation.
Prerequisite: 30 credits or permission of the Department; enrolment in Early Childhood and Elementary Education Specialization.




",,https://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#b31.090.2,
7669,EDUC,264,"Communication: Child, Parent and Teacher",3,"This course focuses on the role parents play in the various stages of the child's academic, social, and emotional development. The format for this course is unique in that parents of the children in the observation nursery are involved, and students interact with them by conducting and participating in parent-teacher seminars. Topics include parenting, the impact of the family on the child's classroom behaviour, child abuse, cultural issues, disciplinary measures at home and in school, the coordination of home-and-school academic goals, and achievement motivation.
Prerequisite: 30 credits or permission of the Department; enrolment in Early Childhood and Elementary Education Specialization.




",,https://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#b31.090.2,
7678,EDUC,301,Integrating Computers into the Elementary Classroom,3,"This course provides an introduction to theoretical and practical knowledge regarding the use of computers in elementary school classrooms. Assignments are designed to provide students with hands-on experience with the computer. Topics include social interaction and equity, problem-solving skills, software evaluation, interactive technologies, and curriculum planning.
Prerequisite: Enrolment in Early Childhood and Elementary Education Specialization.
NOTE: Students are expected to have some basic computer skills (at least word processing) prior to enrolling in this course. Students with no previous experience in using computers are advised to take INTE 290 before enrolling in this course.



",,https://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#b31.090.2,
7673,EDUC,295,Internship I: Prekindergarten Teaching,3,"This internship gives students first-hand knowledge of the importance of early education. It permits students to develop preliminary skills in observing, assessing, and meeting the needs of individual children, articulating educational objectives, working effectively with small groups, and planning and implementing a play-based curriculum. Students are placed in a prekindergarten class one day a week for a total of 60 hours.
Prerequisite: Enrolment in Early Childhood and Elementary Education Specialization; students must be enrolled in EDUC 296 in the same term and in their first year of the ECEE program.
NOTE: Students who have received credit for EDUC 271 may not take this course for credit.



",,https://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#b31.090.2,
792,AHSC,437,INTERNSHIP IN LEISURE SCIENCES,6,"Prerequisite: 60 university credits including AHSC 361, 371; permission of the Department. This course provides students with an opportunity to design, implement, and evaluate programs; to facilitate groups in a variety of settings; and to establish working relationships with field personnel. In consultation with their supervisors, students select a site related to their learning interests. Students learn to develop and manage their own project and to self?assess their work. The course includes fieldwork, seminars, and team meetings.",,https://www.concordia.ca/artsci/applied-human-sciences/student-life/undergraduate-fieldwork-and-internships.html,
46780,HIST,498,ADVANCED TOPICS IN HISTORY,3,Please see UGRD Calendar,,https://www.concordia.ca/artsci/history/programs/critical-museology.html,
23685,LOYC,420,Integrative Seminar,3,"This course focuses on the conceptualization of cross-disciplinary inquiry and the problems of interdisciplinary communication. The role of discipline-based and cross-disciplinary research is studied. A brief intellectual history of discipline-formation and emerging interdisciplinary fields is discussed. One contemporary global issue is usually examined in detail in this context. This course is intended as a seminar for students completing the Minor in Diversity and the Contemporary World.
Prerequisite: 12 credits of LOYC courses; or permission of the College.




",,https://www.concordia.ca/artsci/loyola-college-diversity-sustainability/programs/courses.html and http:/ceedconcordia.org/en/,
47526,GDBA,532,Accounting,3,Please see Graduate Calendar,,https://www.concordia.ca/content/dam/jmsb/docs/programs/gdba/gdba_gcba_program_schedule.pdf,
47526,GDBA,532,Accounting,3,Please see Graduate Calendar,,https://www.concordia.ca/content/dam/jmsb/docs/programs/gdba/gdba_gcba_program_schedule.pdf,
32018,SOEN,390,Software Engineering Team Design Project,3.5,"Students work in teams to design and implement a software project from requirements provided by the coordinator. Each team will demonstrate the software and prepare adequate documentation for it. In addition, each student will write an individual report. Lectures: two hours per week. Tutorial: one hour per week. Laboratory: three hours per week.
Prerequisite: SOEN 345 and SOEN 357 previously or concurrently.",,https://www.concordia.ca/encs/computer-science-software-engineering/students/course-sequences/co-op-soen-general.html,
32018,SOEN,390,Software Engineering Team Design Project,3.5,"Students work in teams to design and implement a software project from requirements provided by the coordinator. Each team will demonstrate the software and prepare adequate documentation for it. In addition, each student will write an individual report. Lectures: two hours per week. Tutorial: one hour per week. Laboratory: three hours per week.
Prerequisite: SOEN 345 and SOEN 357 previously or concurrently.",,https://www.concordia.ca/encs/computer-science-software-engineering/students/course-sequences/co-op-soen-general.html,
32018,SOEN,390,Software Engineering Team Design Project,3.5,"Students work in teams to design and implement a software project from requirements provided by the coordinator. Each team will demonstrate the software and prepare adequate documentation for it. In addition, each student will write an individual report. Lectures: two hours per week. Tutorial: one hour per week. Laboratory: three hours per week.
Prerequisite: SOEN 345 and SOEN 357 previously or concurrently.",,https://www.concordia.ca/encs/computer-science-software-engineering/students/course-sequences/co-op-soen-general.html,
10016,ENGR,412,HONOURS RESEARCH PROJECT,3,Please see UGRD Calendar,,https://www.concordia.ca/encs/eng-society/courses/honours-research-project.html,
1805,ARTE,434,Professional Practice for Art Educators,3,"Students develop, teach, and then evaluate an art program during a practicum in a community setting. Students formulate and express a philosophy of teaching art in a community setting that connects theory, critical thinking, reflective practice and fieldwork experience. Students investigate entrepreneurial skills needed to market community art programs. Students must complete a practicum in a community setting.
Prerequisite: ARTE 420 or 432.




",,https://www.concordia.ca/finearts/research/urban-futures/courses/right-city.html,
3323,BLDG,366,Acoustics and Lighting,3.5,"General introduction to the aural and visual environment. Psychological impact of environment. Subjective and objective scales of measurement. Introduction to vibration. The hearing mechanism. Transmission of sound, passive control of noise in buildings, transmission loss, absorption and reverberation time. Room acoustic assessment. Active control of the aural environment. Visual perception. Photometry, brightness, luminance, and illumination. Concept of natural lighting in building. Artificial lighting; light sources; luminaries. Calorimetry. Calculation methods for artificial lighting. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 243.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3323,BLDG,366,Acoustics and Lighting,3.5,"General introduction to the aural and visual environment. Psychological impact of environment. Subjective and objective scales of measurement. Introduction to vibration. The hearing mechanism. Transmission of sound, passive control of noise in buildings, transmission loss, absorption and reverberation time. Room acoustic assessment. Active control of the aural environment. Visual perception. Photometry, brightness, luminance, and illumination. Concept of natural lighting in building. Artificial lighting; light sources; luminaries. Calorimetry. Calculation methods for artificial lighting. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 243.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3323,BLDG,366,Acoustics and Lighting,3.5,"General introduction to the aural and visual environment. Psychological impact of environment. Subjective and objective scales of measurement. Introduction to vibration. The hearing mechanism. Transmission of sound, passive control of noise in buildings, transmission loss, absorption and reverberation time. Room acoustic assessment. Active control of the aural environment. Visual perception. Photometry, brightness, luminance, and illumination. Concept of natural lighting in building. Artificial lighting; light sources; luminaries. Calorimetry. Calculation methods for artificial lighting. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 243.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3325,BLDG,390,Building Engineering Design Project,3.5,"The project of each team will encompass the conceptual and preliminary design of a new medium-size building. Students learn building engineering design process, methodology, identification of objectives, building codes, formulation of design problems. Development and evaluation of sustainable building design alternatives. Conceptual building design: spatial requirements, design of space layout. Preliminary building design: synthesis and design of structures, enclosure systems, and services (HVAC, lighting, electrical distribution) using computer-aided design tools. Performance evaluation using modelling, sensitivity analysis and cost estimation. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: BLDG 341; ENCS 282; BCEE 344 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3325,BLDG,390,Building Engineering Design Project,3.5,"The project of each team will encompass the conceptual and preliminary design of a new medium-size building. Students learn building engineering design process, methodology, identification of objectives, building codes, formulation of design problems. Development and evaluation of sustainable building design alternatives. Conceptual building design: spatial requirements, design of space layout. Preliminary building design: synthesis and design of structures, enclosure systems, and services (HVAC, lighting, electrical distribution) using computer-aided design tools. Performance evaluation using modelling, sensitivity analysis and cost estimation. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: BLDG 341; ENCS 282; BCEE 344 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3330,BLDG,463,Building Envelope Design,3,"Prerequisite: BLDG 365. Technical influences in the design of building envelope, including the control of heat flow, air and moisture penetration, building movements, and deterioration are covered. Other topics covered by the course are the application of air/vapour barrier and rain-screen systems, performance assessment and building codes through case studies and design projects,
sustainable design principles, design of walls, roofs, joints and assemblies. Students also learn cause of deterioration and preventive measures, on-site investigation and relevant building codes and standards. Lectures: three hours per week",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3322,BLDG,365,Building Science,3.5,"General introduction to the thermal environment and sustainable development issues. Topics include heat, temperature, one-dimensional steady-state processes. Convection: natural and forced. Radiation. Combined radiative and convective surface transfer. Psychrometrics. Thermal comfort. Air quality. Condensation: surface and interstitial. Introduction to compressible viscous flow, friction, and flow in pipes; boundary layer and wind effects. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 251.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3322,BLDG,365,Building Science,3.5,"General introduction to the thermal environment and sustainable development issues. Topics include heat, temperature, one-dimensional steady-state processes. Convection: natural and forced. Radiation. Combined radiative and convective surface transfer. Psychrometrics. Thermal comfort. Air quality. Condensation: surface and interstitial. Introduction to compressible viscous flow, friction, and flow in pipes; boundary layer and wind effects. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 251.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3322,BLDG,365,Building Science,3.5,"General introduction to the thermal environment and sustainable development issues. Topics include heat, temperature, one-dimensional steady-state processes. Convection: natural and forced. Radiation. Combined radiative and convective surface transfer. Psychrometrics. Thermal comfort. Air quality. Condensation: surface and interstitial. Introduction to compressible viscous flow, friction, and flow in pipes; boundary layer and wind effects. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: ENGR 251.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3324,BLDG,371,Building Service Systems,3.5,"Principles of building service systems, including electrical, gas, communications, service-water supply and distribution; introduction to plans, codes, and standards for utility distribution systems. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: BLDG 365 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3324,BLDG,371,Building Service Systems,3.5,"Principles of building service systems, including electrical, gas, communications, service-water supply and distribution; introduction to plans, codes, and standards for utility distribution systems. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.
Prerequisite: BLDG 365 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3342,BLDG,490,Capstone Building Engineering Design Project,4,"Prerequisite: Minimum of 75 credits in the BEng (Bldg) program including ENCS 282; BCEE 344, 345; BLDG 371, 390; ENGR 301. The project of each team encompasses the integrated design of at least three sub-systems of a new or retro-fitted building to achieve high performance and efficiency at reasonable cost; sustainable design and environmental impact issues are addressed in all projects. In the process, students learn, through case studies and literature survey, the information gathering and decision/design process, problem-resolution as well as aspects related to management, teamwork and
communication. Students registering for this course must contact the course coordinator for the detailed procedure. Lectures: two hours per week, two terms.",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3344,BLDG,492,Construction Processes,3,"A study of current construction methods and techniques. The subjects include site preparation and earth-work, wood framing, masonry, concrete forming, slip forming, precast construction, industrialized building, deep excavation shoring and underpinning. Design, erection, and removal of temporary construction work. Current field practice and safety considerations. Site visits. Lectures: three hours per week.
Prerequisite: BCEE 451 or ENGR 451.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3332,BLDG,471,HVAC System Design,4,"Principles of HVAC system design and analysis; sustainable design issues and impact on environment; component and system selection criteria including room air distribution, fans and air circulation, humidifying and dehumidifying processes, piping and ducting design. Air quality standards. Control systems and techniques; operational economics; computer applications. Lectures: three hours per week. Laboratory: two hours per week.
Prerequisite: BLDG 371; BLDG 476 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3332,BLDG,471,HVAC System Design,4,"Principles of HVAC system design and analysis; sustainable design issues and impact on environment; component and system selection criteria including room air distribution, fans and air circulation, humidifying and dehumidifying processes, piping and ducting design. Air quality standards. Control systems and techniques; operational economics; computer applications. Lectures: three hours per week. Laboratory: two hours per week.
Prerequisite: BLDG 371; BLDG 476 previously or concurrently.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3337,BLDG,476,Thermal Analysis of Buildings,3,"Two- and three-dimensional steady-state and transient conductive heat transfer together with convection and radiation as applied to building materials and geometries. Heating and cooling load analysis, including building shapes, construction type, solar radiation, infiltration, occupancy effects, and daily load variations. Computer applications for thermal load analysis. Introduction to heat exchangers. Lectures: three hours per week. Tutorial: one hour per week.
Prerequisite: BLDG 365; ENGR 361.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3337,BLDG,476,Thermal Analysis of Buildings,3,"Two- and three-dimensional steady-state and transient conductive heat transfer together with convection and radiation as applied to building materials and geometries. Heating and cooling load analysis, including building shapes, construction type, solar radiation, infiltration, occupancy effects, and daily load variations. Computer applications for thermal load analysis. Introduction to heat exchangers. Lectures: three hours per week. Tutorial: one hour per week.
Prerequisite: BLDG 365; ENGR 361.




",,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html,
3353,BLDG,6071,WIND ENGR+BLDG AERODYNAMICS,4,Please see GRAD Calendar,,https://www.concordia.ca/ginacody/engineering-in-society/programs/undergraduate-courses/honours-research-project.html,
3356,BLDG,6111,FUNDAMENTALS OF SMART BLDG OP,4,Please see GRAD Calendar,,https://www.concordia.ca/ginacody/info-systems-eng/research/labs/computer-security-laboratory.html,
47817,BLDG,6791,Thermal Building Simulation,4,"Mathematical models of heat and mass transfer phenomena through building components: transfer function methods and numerical methods. Models of radiative and convective heat transfer phenomena within buildings. Application to equipment-based modelling of HVAC systems: first principle models and correlation-based models. System-based modelling of HVAC systems. Validation of computer models. A project.
Prerequisite: BLDG 6611.",,https://www.concordia.ca/ginacody/mechanical-industrial-aerospace-eng/research/electrochemical-green-eng.html,
3391,BLDG,6801,CONSTRUCTION PLANN G+CONTROL,4,Please see GRAD Calendar,,https://www.concordia.ca/ginacody/programs/summer-camps/girlset.html,
3398,BLDG,6851,PROJECT COST ESTIMATING,4,Please see GRAD Calendar,,https://www.concordia.ca/ginacody/programs/summer-camps/science-engineering-camp.html,
16388,INTP,662,PROFESSIONAL INTERNSHIP II,3,Please see GRAD Calendar,,https://www.concordia.ca/news/media-relations/spotlights/arts-culture-technology.html,
3399,BLDG,6861,SIMUL.+ DESIGN/CONST. OPER.,4,Please see GRAD Calendar,,https://www.concordia.ca/research/composites/facilities.html,
3407,BLDG,6951,SOLAR BUILDING MODELLING AND DESIGN,4,Please see GRAD Calendar,,https://www.concordia.ca/research/water-energy.html,
3361,BLDG,6561,BUILDING ECONOMICS I,4,Please see GRAD Calendar,,https://www.concordia.ca/research/zero-energy-building/facilities/labs-equipment.html,
47961,BLDG,6241,Building Information Modelling in Construction,4,"Topics include introduction to Building Information Modelling (BIM) technologies; BIM implementation at different project stages - pre-construction, construction, and facility management; BIM-Aided design alternatives, constructability analysis, and development of space-time-cost models; BIM visualization for trade coordination and processes monitoring. A project is required.",,https://www.concordia.ca/research/zero-energy-building/facilities/labs-equipment.html,
46997,POLI,487,Advanced Seminar in Comparative Politics,3,Please see UGRD Calendar,,https://www.concordia.ca/students/exchanges/field-schools/Azrieli_Institute_Summer_in_Israel.html,
47765,PERC,210,The Audience and the Performance Event,3,"Prerequisite: ACTT 209 or PERC 209 or written permission of the Department of Theatre. This studio course introduces students to theories and practical skills from a wide range of approaches including agitprop, group workshop, collective creation, documentary drama, issue-based theatre, and collaborative community plays. Theory and practice are examined in the context of the relationship of the performance to its audience.
NOTE: Students who have received credit for TDEV 210 may not take this course for credit.",,https://www.concordia.ca/students/exchanges/field-schools/Concordia_Theatre_Students_in_Germany.html,
47765,PERC,210,The Audience and the Performance Event,3,"Prerequisite: ACTT 209 or PERC 209 or written permission of the Department of Theatre. This studio course introduces students to theories and practical skills from a wide range of approaches including agitprop, group workshop, collective creation, documentary drama, issue-based theatre, and collaborative community plays. Theory and practice are examined in the context of the relationship of the performance to its audience.
NOTE: Students who have received credit for TDEV 210 may not take this course for credit.",,https://www.concordia.ca/students/exchanges/field-schools/Concordia_Theatre_Students_in_Germany.html,
49371,ENCS,485,Field School in Engineering and Sustainable Development,3,"Prerequisite: Minimum of 24 credits in the program; minimum GPA of 2.50. This is a complementary field course for undergraduate students in international development and global engineering. The course will consist of a number of lectures in Montreal followed by an international trip to a designated location where development is underway. Topics will include location and context-specific history and evolution of development, globalization, sustainability initiatives, technological planning and analysis, and participatory data gathering. Students will be required to complete a project-based research paper on a topic approved by the course instructor.",,https://www.concordia.ca/students/exchanges/field-schools/rwanda-field-school.html,
49371,ENCS,485,Field School in Engineering and Sustainable Development,3,"Prerequisite: Minimum of 24 credits in the program; minimum GPA of 2.50. This is a complementary field course for undergraduate students in international development and global engineering. The course will consist of a number of lectures in Montreal followed by an international trip to a designated location where development is underway. Topics will include location and context-specific history and evolution of development, globalization, sustainability initiatives, technological planning and analysis, and participatory data gathering. Students will be required to complete a project-based research paper on a topic approved by the course instructor.",,https://www.concordia.ca/students/exchanges/field-schools/rwanda-field-school.html,
3411,BLDG,7601,DURABILITY OF BLDG. MATS.,4,Please see GRAD Calendar,,https://www.engcomm.ca/about-us/,
3415,BLDG,7811,PROJECT ACQUISITION+CONTROL,4,Please see GRAD Calendar,,https://www.facebook.com/ewbconu/,
3417,BLDG,7831,BUILDING ECONOMICS II,4,Please see GRAD Calendar,,https://www.facebook.com/groups/6346382844/about/,
3419,BLDG,7841,INFORMATION TECHNOLOGY APPLICATIONS IN CONSTRUCTION,4,"Prerequisite: BLDG 7811.
Use of computers in estimating, cost engineering, scheduling and resource analyses, materials control, report generation and operations simulation. Information systems: information-based theories of management; information technology, cost and value information; analysis, design and implementation of a network based control system. Considerations for computer usage in construction firms; hardware, software, operations, economic, human and organizational. Product and process modelling; Internet use in product delivery. A project is required.",,https://www.facebook.com/groups/scsconcordia/about/,
40772,FMST,690,MA RESEARCH/THESIS,24,Please see GRAD Calendar,,https://www.globalemergentmedia.com/,
33654,TESL,326,TESL Pedagogy: General,6,"The purpose of this course is to introduce students to the profession of teaching English as a second language to children, adolescents, and adults. Students examine a variety of approaches and methodologies that have been used in the past and how these have contributed to current thinking and practices. They have the opportunity to observe English-language instruction in a variety of settings through visits and video presentations. They discuss issues related to lesson planning, audio-visual aids, classroom organization and management techniques. Special attention is paid to the creation of lessons appropriate to adult learners. A minimum of 30 hours is spent observing and assisting in adult ESL classes. Assignments include classroom-based projects.
Prerequisite: TESL 221, 231 previously or concurrently.




",,https://www.maisondelamitie.ca/cours-de-langues,
33654,TESL,326,TESL Pedagogy: General,6,"The purpose of this course is to introduce students to the profession of teaching English as a second language to children, adolescents, and adults. Students examine a variety of approaches and methodologies that have been used in the past and how these have contributed to current thinking and practices. They have the opportunity to observe English-language instruction in a variety of settings through visits and video presentations. They discuss issues related to lesson planning, audio-visual aids, classroom organization and management techniques. Special attention is paid to the creation of lessons appropriate to adult learners. A minimum of 30 hours is spent observing and assisting in adult ESL classes. Assignments include classroom-based projects.
Prerequisite: TESL 221, 231 previously or concurrently.




",,https://www.maisondelamitie.ca/cours-de-langues,
25375,MECH,490A, Capstone Mechanical Engineering Design Project,4,"A supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.
Prerequisite: 75 credits in the program; ENCS 282; ENGR 301; MECH 344, 390.
NOTE: Students will work in groups under direct supervision of a faculty member. Each student will undertake project work in the area of their option.



",,,
25375,MECH,490A, Capstone Mechanical Engineering Design Project,4,"A supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.
Prerequisite: 75 credits in the program; ENCS 282; ENGR 301; MECH 344, 390.
NOTE: Students will work in groups under direct supervision of a faculty member. Each student will undertake project work in the area of their option.



",,,
